"city","weektime","hour","num_occupied","num_tot","occupied_ratio"
"Winterthur","weekday","6","36","828","0.04347826086956521739"
"Winterthur","weekday","7","36","861","0.04181184668989547038"
"Winterthur","weekday","8","36","864","0.04166666666666666667"
"Winterthur","weekday","9","39","864","0.04513888888888888889"
"Winterthur","weekday","10","36","864","0.04166666666666666667"
"Winterthur","weekday","11","36","864","0.04166666666666666667"
"Winterthur","weekday","12","36","864","0.04166666666666666667"
"Winterthur","weekday","13","36","864","0.04166666666666666667"
"Winterthur","weekday","14","51","864","0.05902777777777777778"
"Winterthur","weekday","15","45","861","0.05226480836236933798"
"Winterthur","weekday","16","0","855","0.00000000000000000000"
"Winterthur","weekday","17","0","831","0.00000000000000000000"
"Winterthur","weekday","18","0","864","0.00000000000000000000"
"Winterthur","weekday","19","0","864","0.00000000000000000000"
"Winterthur","weekday","20","0","864","0.00000000000000000000"
"Winterthur","weekday","21","0","858","0.00000000000000000000"
"Winterthur","weekday","22","0","828","0.00000000000000000000"
"Winterthur","weekday","23","0","828","0.00000000000000000000"
"Winterthur","weekend","0","144","4878","0.02952029520295202952"
"Winterthur","weekend","1","144","4878","0.02952029520295202952"
"Winterthur","weekend","2","144","4860","0.02962962962962962963"
"Winterthur","weekend","3","144","4887","0.02946593001841620626"
"Winterthur","weekend","4","144","4920","0.02926829268292682927"
"Winterthur","weekend","5","135","4749","0.02842703727100442198"
"Winterthur","weekend","6","111","4896","0.02267156862745098039"
"Winterthur","weekend","7","57","4923","0.01157830591102985984"
"Winterthur","weekend","8","105","4995","0.02102102102102102102"
"Winterthur","weekend","9","237","5055","0.04688427299703264095"
"Winterthur","weekend","10","171","4977","0.03435804701627486438"
"Winterthur","weekend","11","327","5019","0.06515242080095636581"
"Winterthur","weekend","12","402","5130","0.07836257309941520468"
"Winterthur","weekend","13","435","5136","0.08469626168224299065"
"Winterthur","weekend","14","366","5130","0.07134502923976608187"
"Winterthur","weekend","15","372","5088","0.07311320754716981132"
"Winterthur","weekend","16","243","5067","0.04795737122557726465"
"Winterthur","weekend","17","240","5031","0.04770423375074537865"
"Winterthur","weekend","18","243","5016","0.04844497607655502392"
"Winterthur","weekend","19","216","4995","0.04324324324324324324"
"Winterthur","weekend","20","216","4992","0.04326923076923076923"
"Winterthur","weekend","21","216","4968","0.04347826086956521739"
"Winterthur","weekend","22","186","4959","0.03750756200846944949"
"Winterthur","weekend","23","180","4908","0.03667481662591687042"
