"evseid","operatorname","num_occupied","num_tot","lat","lng","occupied_ratio"
"CH*E4U*E00019","Ost-mobil","2871","2871","47.4601987187197","9.38848257980482","1.00000000000000000000"
"CH*E4U*E00268","Ost-mobil","2871","2871","47.477601306043","9.46265102354517","1.00000000000000000000"
"CH*E4U*E00268","Ost-mobil","2871","2871","47.477601306043","9.46265102354517","1.00000000000000000000"
"CH*E4U*E00592","Ost-mobil","2871","2871","47.4599738508647","9.05138255050486","1.00000000000000000000"
"CH*E4U*E00358","Ost-mobil","2871","2871","47.4596070100418","9.03776400883634","1.00000000000000000000"
"CH*E4U*E00592","Ost-mobil","2871","2871","47.4599738508647","9.05138255050486","1.00000000000000000000"
"CH*E4U*E00480","easy4you","2871","2871","47.2723756521667","8.9115965454153","1.00000000000000000000"
"CH*E4U*E00592","Ost-mobil","2871","2871","47.4599738508647","9.05138255050486","1.00000000000000000000"
"CH*E4U*E00268","Ost-mobil","2871","2871","47.477601306043","9.46265102354517","1.00000000000000000000"
"CH*E4U*E00164","Ost-mobil","2871","2871","47.4312154710566","9.38336492501033","1.00000000000000000000"
"CH*E4U*E00164","Ost-mobil","2871","2871","47.4312154710566","9.38336492501033","1.00000000000000000000"
"CH*E4U*E00164","Ost-mobil","2871","2871","47.4312154710566","9.38336492501033","1.00000000000000000000"
"CH*E4U*E00660","easy4you","2871","2871","46.4850968117632","9.82006073984891","1.00000000000000000000"
"CH*E4U*E00660","easy4you","2871","2871","46.4850968117632","9.82006073984891","1.00000000000000000000"
"CH*E4U*E00660","easy4you","2871","2871","46.4850968117632","9.82006073984891","1.00000000000000000000"
"CH*E4U*E00288","Ost-mobil","2871","2871","46.8477254199238","9.52394486422127","1.00000000000000000000"
"CH*E4U*E00480","easy4you","2871","2871","47.2723756521667","8.9115965454153","1.00000000000000000000"
"CH*E4U*E00480","easy4you","2871","2871","47.2723756521667","8.9115965454153","1.00000000000000000000"
"CH*E4U*E00288","Ost-mobil","2871","2871","46.8477254199238","9.52394486422127","1.00000000000000000000"
