"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*E4U*E00252","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","20",3,3,"0.00000000000000000000"
"CH*E4U*E00252","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","20",3,3,"0.00000000000000000000"
"CH*E4U*E00252","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","20",3,3,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","50",3,3,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","50",3,3,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","168","50",3,3,"0.00000000000000000000"
"CH*E4U*E00251","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","82","250","22.08",3,3,"0.32800000000000000000"
"CH*E4U*E00251","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","82","250","22.08",3,3,"0.32800000000000000000"
"CH*E4U*E00251","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","82","250","22.08",3,3,"0.32800000000000000000"
"CH*E4U*E00489","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,36,"0.50000000000000000000"
"CH*E4U*E00489","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,40,"0.50000000000000000000"
"CH*E4U*E00489","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,40,"0.50000000000000000000"
"CH*E4U*E00487","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","44.16",7,36,"0.50000000000000000000"
"CH*E4U*E00487","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","44.16",7,40,"0.50000000000000000000"
"CH*E4U*E00487","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","44.16",7,40,"0.50000000000000000000"
"CH*E4U*E00488","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,36,"0.50000000000000000000"
"CH*E4U*E00488","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,40,"0.50000000000000000000"
"CH*E4U*E00488","easy4you","0101000020080800009FA841E105C744413EE10F39EB943241","1217771.22289856","2723339.75981624","168","336","50",7,40,"0.50000000000000000000"
