"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCC*E50032","Move","010100002008080000ED51F5BB501344413DF0A8C569423241","1196649.77210905","2631329.46842407","115","18381","42",8,3,"0.00625646047549099614"
"CH*CCC*E50032","Move","010100002008080000ED51F5BB501344413DF0A8C569423241","1196649.77210905","2631329.46842407","115","18381","42",8,3,"0.00625646047549099614"
"CH*SWIEE27738","Swisscharge","010100002008080000937A83B2080E4341290F2A29F5063141","1115893.16079802","2497553.39463741","312","17794","22",2,411,"0.01753400022479487468"
"CH*SWIEE27738","Swisscharge","010100002008080000937A83B2080E4341290F2A29F5063141","1115893.16079802","2497553.39463741","312","17794","22",2,411,"0.01753400022479487468"
"CH*SWIEE27738","Swisscharge","010100002008080000937A83B2080E4341290F2A29F5063141","1115893.16079802","2497553.39463741","312","17794","22",2,413,"0.01753400022479487468"
"CH*SWIEE15148","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","0","18898","22",2,111,"0.000000000000000000000000"
"CH*SWIEE15148","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","0","18898","22",2,119,"0.000000000000000000000000"
"CH*SWIEE15148","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","0","18898","22",2,109,"0.000000000000000000000000"
"CH*CCI*E20219","Move","0101000020080800000249838801A84341D3B96DC87F0D3241","1183103.78292428","2576387.06650651","60","4624","22",5,136,"0.01297577854671280277"
"CH*CCI*E20219","Move","0101000020080800000249838801A84341D3B96DC87F0D3241","1183103.78292428","2576387.06650651","60","4624","22",5,127,"0.01297577854671280277"
"CH*CCI*E20219","Move","0101000020080800000249838801A84341D3B96DC87F0D3241","1183103.78292428","2576387.06650651","60","4624","22",5,128,"0.01297577854671280277"
"CH*SWIEE4318","Swisscharge","0101000020080800002F61DF20B1764441F9AE5C8AB8ED3241","1240504.54047674","2682210.25681701","90","18278","11",2,36,"0.00492395229237334500"
"CH*SWIEE4318","Swisscharge","0101000020080800002F61DF20B1764441F9AE5C8AB8ED3241","1240504.54047674","2682210.25681701","90","18278","11",2,38,"0.00492395229237334500"
"CH*SWIEE4318","Swisscharge","0101000020080800002F61DF20B1764441F9AE5C8AB8ED3241","1240504.54047674","2682210.25681701","90","18278","11",2,41,"0.00492395229237334500"
"CHEVPE3196","evpass","010100002008080000B202FA3804F2434107EF2A110CEB3141","1174284.06706137","2614280.44512972","31","18609","50.0",5,23,"0.00166586060508356172"
"CHEVPE3196","evpass","010100002008080000B202FA3804F2434107EF2A110CEB3141","1174284.06706137","2614280.44512972","31","18609","50.0",5,19,"0.00166586060508356172"
"CHEVPE3196","evpass","010100002008080000B202FA3804F2434107EF2A110CEB3141","1174284.06706137","2614280.44512972","31","18609","50.0",5,24,"0.00166586060508356172"
"CH*CCI*E20121","Move","010100002008080000487550A87DD74341FCEA3D74854D3241","1199493.45406979","2600699.31495539","1723","18411","11",1,20,"0.09358535658030525229"
"CH*CCI*E20121","Move","010100002008080000487550A87DD74341FCEA3D74854D3241","1199493.45406979","2600699.31495539","1723","18411","11",1,15,"0.09358535658030525229"
"CH*CCI*E20121","Move","010100002008080000487550A87DD74341FCEA3D74854D3241","1199493.45406979","2600699.31495539","1723","18411","11",1,21,"0.09358535658030525229"
"CH*E4U*E00524","Ost-mobil","010100002008080000334C8EAEB1AD4441CF0F738653403341","1261651.5251932","2710371.36371758","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*E4U*E00524","Ost-mobil","010100002008080000334C8EAEB1AD4441CF0F738653403341","1261651.5251932","2710371.36371758","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*E4U*E00524","Ost-mobil","010100002008080000334C8EAEB1AD4441CF0F738653403341","1261651.5251932","2710371.36371758","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*REPE072*01*2","PLUG’N ROLL","010100002008080000267C80BD896B444181E1C95C58383341","1259608.36245546","2676499.48048355","1007","18792","17",3,54,"0.05358663260962111537"
"CH*REPE072*01*2","PLUG’N ROLL","010100002008080000267C80BD896B444181E1C95C58383341","1259608.36245546","2676499.48048355","1007","18792","17",3,60,"0.05358663260962111537"
"CH*REPE072*01*2","PLUG’N ROLL","010100002008080000267C80BD896B444181E1C95C58383341","1259608.36245546","2676499.48048355","1007","18792","17",3,64,"0.05358663260962111537"
"CH*SWIEE4962","Swisscharge","010100002008080000959FE4717D874441397EA31EB6DC3241","1236150.11968221","2690810.88978953","130","18532","22",2,65,"0.00701489315778113533"
"CH*SWIEE4962","Swisscharge","010100002008080000959FE4717D874441397EA31EB6DC3241","1236150.11968221","2690810.88978953","130","18532","22",2,69,"0.00701489315778113533"
"CH*SWIEE4962","Swisscharge","010100002008080000959FE4717D874441397EA31EB6DC3241","1236150.11968221","2690810.88978953","130","18532","22",2,55,"0.00701489315778113533"
"CH*REPE075*01*1","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","437","18788","22",7,61,"0.02325952735788801363"
"CH*REPE075*01*1","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","437","18788","22",7,54,"0.02325952735788801363"
"CH*REPE075*01*1","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","437","18788","22",7,60,"0.02325952735788801363"
