"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*EBA*6542*5","Move","010100002008080000D571B555A68B4341B47633D9C0163241","1185472.84844152","2561868.66959975","22",6,193,"0.00911756864836043722"
"CH*CCI*E20295","Move","0101000020080800002EEC211103BC4341C3EEC8DAFEA53241","1222142.85462849","2586630.13384773","11",4,149,"0.00000000000000000000"
"CH*CCI*E20295","Move","0101000020080800002EEC211103BC4341C3EEC8DAFEA53241","1222142.85462849","2586630.13384773","11",4,157,"0.00000000000000000000"
"CH*CCI*E20295","Move","0101000020080800002EEC211103BC4341C3EEC8DAFEA53241","1222142.85462849","2586630.13384773","11",4,133,"0.00000000000000000000"
"CH*SWIEE2747","Swisscharge","0101000020080800004A45CE5865344441037D6DC4E9CB3241","1231849.76729566","2648266.69379488","16",7,5,"1.00000000000000000000"
"CH*SWIEE2747","Swisscharge","0101000020080800004A45CE5865344441037D6DC4E9CB3241","1231849.76729566","2648266.69379488","16",7,10,"1.00000000000000000000"
"CH*SWIEE2747","Swisscharge","0101000020080800004A45CE5865344441037D6DC4E9CB3241","1231849.76729566","2648266.69379488","16",7,6,"1.00000000000000000000"
"CH*SWIEE10720","Swisscharge","010100002008080000186B91C160364441D4813AF15DC13241","1229149.942299","2649281.51225032","22",7,3,"0.00576750092597491931"
"CH*SWIEE10720","Swisscharge","010100002008080000186B91C160364441D4813AF15DC13241","1229149.942299","2649281.51225032","22",7,3,"0.00576750092597491931"
"CH*SWIEE10720","Swisscharge","010100002008080000186B91C160364441D4813AF15DC13241","1229149.942299","2649281.51225032","22",7,3,"0.00576750092597491931"
"CH*SWIEE10760","Swisscharge","010100002008080000EA1ABC64DE924441089BC35B5FFF3241","1245023.35845345","2696636.78699051","22",2,120,"0.00973596486586591883"
"CH*SWIEE10760","Swisscharge","010100002008080000EA1ABC64DE924441089BC35B5FFF3241","1245023.35845345","2696636.78699051","22",2,177,"0.00973596486586591883"
"CH*SWIEE10760","Swisscharge","010100002008080000EA1ABC64DE924441089BC35B5FFF3241","1245023.35845345","2696636.78699051","22",2,110,"0.00973596486586591883"
"CH*CCI*E20130","Move","0101000020080800002B070EC853DB43410E8099564C4F3241","1199948.33827973","2602663.5629281","11",1,14,"0.00080597496104454355"
"CH*CCI*E20130","Move","0101000020080800002B070EC853DB43410E8099564C4F3241","1199948.33827973","2602663.5629281","11",1,15,"0.00080597496104454355"
"CH*CCI*E20130","Move","0101000020080800002B070EC853DB43410E8099564C4F3241","1199948.33827973","2602663.5629281","11",1,14,"0.00080597496104454355"
"CH*E4U*E00559","Ost-mobil","0101000020080800006ED8D817C8FB4441114BAFB177833241","1213303.69408101","2750352.1863051","22.08",7,3,"0.00000000000000000000"
