"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*E20110","Move","01010000200808000047CC2B8A2BB1434113FF8BDD21243241","1188897.86541743","2581079.07946161","22",5,4,"0.08097361775294180861"
"CH*CCI*E20110","Move","01010000200808000047CC2B8A2BB1434113FF8BDD21243241","1188897.86541743","2581079.07946161","22",5,3,"0.08097361775294180861"
"CH*CCI*E20110","Move","01010000200808000047CC2B8A2BB1434113FF8BDD21243241","1188897.86541743","2581079.07946161","22",5,3,"0.08097361775294180861"
"CH*SWIEE15617","Swisscharge","010100002008080000564D2B6CD5A2444183B0375FC8C93241","1231304.3719435","2704810.84507148","22",4,10,"0.02418117360706915710"
"CH*SWIEE15617","Swisscharge","010100002008080000564D2B6CD5A2444183B0375FC8C93241","1231304.3719435","2704810.84507148","22",4,9,"0.02418117360706915710"
"CH*SWIEE15617","Swisscharge","010100002008080000564D2B6CD5A2444183B0375FC8C93241","1231304.3719435","2704810.84507148","22",4,8,"0.02418117360706915710"
"CH*E4U*E00076","Ost-mobil","0101000020080800003D7E56801AF744412425D4144B3F3341","1261387.08136208","2747957.00263956","22.08",7,28,"0.00000000000000000000"
"CH*E4U*E00076","Ost-mobil","0101000020080800003D7E56801AF744412425D4144B3F3341","1261387.08136208","2747957.00263956","22.08",7,26,"0.00000000000000000000"
"CH*E4U*E00076","Ost-mobil","0101000020080800003D7E56801AF744412425D4144B3F3341","1261387.08136208","2747957.00263956","22.08",7,29,"0.00000000000000000000"
"CH*CCI*EBB*2794*6","Move","0101000020080800004AC44BC96D5944412BFF8A3A33853241","1213747.22868342","2667227.57262472","22",2,46,"0.01666754854754219800"
"CH*CCI*EBB*2794*6","Move","0101000020080800004AC44BC96D5944412BFF8A3A33853241","1213747.22868342","2667227.57262472","22",2,49,"0.01666754854754219800"
"CH*CCI*EBB*2794*6","Move","0101000020080800004AC44BC96D5944412BFF8A3A33853241","1213747.22868342","2667227.57262472","22",2,49,"0.01666754854754219800"
"CH*REPE080*01*1","PLUG’N ROLL","0101000020080800008AA278CF5DAE444194E89D18075E3341","1269255.09615949","2710715.62086899","22.08",4,15,"0.01142917614688607863"
