,OperatorID,OperatorName,IsOpen24Hours,ChargingStationId,lastUpdate,HotlinePhoneNum,ClearinghouseID,OpeningTimes,ChargingStationName,EnChargingStationName,HubOperatorID,Plugs,Accessibility,EvseID,DynamicInfoAvailable,ChargingFacilities,IsHubjectCompatible,ChargingModes,MaxCapacity,PaymentOptions,AdditionalInfo,ChargingPoolID,deltaType,ValueAddedServices,AuthenticationModes,Address.City,Address.Country,Address.HouseNum,Address.PostalCode,Address.Street,Address.Floor,Address.Region,Address.Timezone,GeoCoordinates.Google,GeoChargingPointEntrance.Google
973,CHEVP,evpass,False,1762,,488848044,,,evpass - P1 - Turnhallenparkplatz - Links,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2424,true,"[{'amperage': 16, 'power': 11.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zofingen,CHE,14,4800,Strengelbacherstrasse,,,UTC+02:00,47.283324 7.940593,None None
974,CHEVP,evpass,False,1764,,488848044,,,evpass - P1 - gemeinde Sigriswil - 01,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2340,true,"[{'amperage': 16, 'power': 11.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Gunten,CHE,81,3654,Seestrasse,,,UTC+02:00,46.71304 7.70177,None None
975,CHEVP,evpass,False,1765,,488848044,,,evpass - P1 - SAK - Clientis Bank Thur - 01,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2412,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Ebnat-Kappel,CHE,21,9642,Kapplerstrasse,,,UTC+02:00,47.265662 9.120196,None None
976,CHEVP,evpass,False,1774,,488848044,,,evpass - P1 - SAK - Gästehaus Bären - 01,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2406,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Gais,CHE,42,9056,Zwislenstrasse,,,UTC+02:00,47.354893 9.454481,None None
977,CHEVP,evpass,False,1778,,488848044,,,Hôtel de Ville - P1 - Online - 01,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE1440,true,"[{'amperage': 16, 'power': 11.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,['Contract'],,,,['MaximumPowerCharging'],"['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire']",Lutry,CHE,,1095,Rue du Rivage,,,UTC+02:00,46.501952 6.685532,None None
978,CHEVP,evpass,False,1798,,488848044,,,Ville de Monthey - N2 - 01 - Parking Place d'Armes,,,"['Type 1 Connector (Cable Attached)', 'Type 2 Connector (Cable Attached)']",Free publicly accessible,CHEVPE1487,true,"[{'amperage': 32, 'power': 7.0, 'powertype': 'AC_1_PHASE', 'voltage': 230}, {'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}]",False,['Mode_3'],,"['Contract', 'Direct']","[{'lang': 'fr-FR', 'value': 'Parking: 60 min. gratuit, puis CHF 0.50/heure'}]",,,['MaximumPowerCharging'],"['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Monthey,CHE,9,1870,Avenue du Simplon,,,UTC+02:00,46.249388 6.950445,None None
979,CHEVP,evpass,False,1798,,488848044,,,Ville de Monthey - N2 - 01 - Parking Place d'Armes,,,"['Type 1 Connector (Cable Attached)', 'Type 2 Connector (Cable Attached)']",Free publicly accessible,CHEVPE1488,true,"[{'amperage': 32, 'power': 7.0, 'powertype': 'AC_1_PHASE', 'voltage': 230}, {'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}]",False,['Mode_3'],,"['Contract', 'Direct']","[{'lang': 'fr-FR', 'value': 'Parking: 60 min. gratuit, puis CHF 0.50/heure'}]",,,['MaximumPowerCharging'],"['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Monthey,CHE,9,1870,Avenue du Simplon,,,UTC+02:00,46.249388 6.950445,None None
980,CHEVP,evpass,False,1812,,488848044,,,evpass - ABB Terra 53 - SAK - City Garage,,,['Type 2 Connector (Cable Attached)'],Free publicly accessible,CHEVPE2079,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",St. Gallen,CHE,511,9015,Zürcherstrasse,,,UTC+02:00,47.407333 9.294186,None None
981,CHEVP,evpass,False,1812,,488848044,,,evpass - ABB Terra 53 - SAK - City Garage,,,['CHAdeMO'],Free publicly accessible,CHEVPE2098,true,"[{'power': 50.0, 'powertype': 'DC'}]",False,['CHAdeMO'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",St. Gallen,CHE,511,9015,Zürcherstrasse,,,UTC+02:00,47.407333 9.294186,None None
982,CHEVP,evpass,False,1812,,488848044,,,evpass - ABB Terra 53 - SAK - City Garage,,,['CCS Combo 2 Plug (Cable Attached)'],Free publicly accessible,CHEVPE2104,true,"[{'power': 50.0, 'powertype': 'DC'}]",False,['Mode_4'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",St. Gallen,CHE,511,9015,Zürcherstrasse,,,UTC+02:00,47.407333 9.294186,None None
